Назва,Тип,Категорія,Смаки / Опір (варіанти),Примітка,Шлях до фото
Vaporesso XROS Series,Товар,Картриджі & Випаровувачі,0.4 Ом; 0.6 Ом; 0.7 Ом; 0.8 Ом; 1.0 Ом; 1.2 Ом,"2мл/3мл, серія COREX 2.0/3.0",/images/products/Картридж Vaporesso Xros Pod 0.4 Ом (3 мл).webp; /images/products/Картридж Vaporesso Xros Pod 0.6 Ом.webp; /images/products/Картридж Vaporesso XROS 0.7 Ом 3 мл.webp; /images/products/Картридж Vaporesso Xros Pod 0.8 Ом (3 мл).webp; /images/products/Картридж Vaporesso Xros Pod 1.0 Ом (2 мл).webp; /images/products/Картридж Vaporesso Xros Pod 1.2 Ом.webp
OXVA Xlim V2,Товар,Картриджі & Випаровувачі,0.6 Ом; 0.8 Ом; 1.2 Ом,"2мл, бокова заправка",/images/products/OXVA Xlim V2 - 0.8 Ом.jpg; /images/products/OXVA Xlim V2 - 0.8 Ом.jpg; /images/products/OXVA Xlim V2 - 0.8 Ом.jpg
Lost Vape Ursa (вбудований випарник),Товар,Картриджі & Випаровувачі,0.6 Ом; 0.8 Ом; 1.2 Ом,2.5мл; існує також порожній Ursa Empty під випарники UB Mini,; /images/products/Змінний випаровувач Lost Vape UB Lite L3 Coil 0.8 Ом.webp; /images/products/Випаровувач Lost Vape UB Lite L8 1.2 Ом.webp
Voopoo Argus Pod,Товар,Картриджі & Випаровувачі,0.4 Ом; 0.7 Ом; 1.0 Ом; 1.2 Ом,2мл/3мл,/images/products/Картридж Voopoo Argus Pod 0.4 Ом (3 мл).webp; /images/products/Картридж Voopoo Argus 0.7 Ом 2 мл.webp; /images/products/Картридж Voopoo Argus Pod 1.0 Ом (2 мл).webp; /images/products/Картридж Voopoo Argus 1.2 Ом 2 мл.webp
Voopoo Vinci Series,Товар,Картриджі & Випаровувачі,0.6 Ом; 0.8 Ом; 1.0 Ом,MTL,"/images/products/Voopoo Vinci Series - 0.6 Ом.jpg; /images/products/Картридж Voopoo Vinci Pod 0.8 Ом, 2.0 мл.webp; "
GeekVape U,Товар,Картриджі & Випаровувачі,0.7 Ом; 1.1 Ом; 1.7 Ом,2мл,/images/products/Картридж GeekVape U 0.7 Ом.webp; /images/products/Картридж GeekVape U 1.1 Ом.webp; 
Voopoo ITO,Товар,Картриджі & Випаровувачі,1.0 Ом; 1.2 Ом,"2мл, бокова заправка",/images/products/Випаровувач Voopoo ITO-М2 1.0 Ом.webp; /images/products/Картридж Voopoo ITO 1.2 Ом.webp
Smok LP1 (для Novo 4 / Novo 4 Mini),Товар,Картриджі & Випаровувачі,0.8 Ом (Mesh); 0.8 Ом (DC); 0.9 Ом (Meshed MTL); 0.9 Ом (Turbo Meshed MTL); 1.2 Ом (Mesh),"змінний випарник, картридж окремо",; ; ; ; 
Smok Novo 2X,Товар,Картриджі & Випаровувачі,0.8 Ом; 0.9 Ом,"2мл, вбудований випарник",/images/products/Картридж Smok Novo 2 - Mesh 0.8 Ом.webp; /images/products/Випаровувач Smok Novo 4 LP1 Meshed 0.9 Ом MTL.webp
Elf Bar RF350 / Mate500,Товар,Картриджі & Випаровувачі,1.2 Ом,1.6мл,"/images/products/Заправлені картриджі Elf Bar P1 2.0 Мл, 1.2 Ом - Banana Ice.webp"
Freeton F-Resin Breeze SE,Товар,Картриджі & Випаровувачі,1.2 Ом,2мл,
Smok Novo 4 Mini Empty (порожній),Товар,Картриджі & Випаровувачі,під випарник LP1: 0.8 / 0.9 / 1.2 Ом,"без випарника, купується окремо",/images/products/Smok Novo 4 Mini Empty (порожній) - під випарник LP1 0.8 0.9 1.2 Ом.jpg
ZQ Xtal Pro Coil,Товар,Картриджі & Випаровувачі,0.6 Ом; 1.0 Ом,для ZQ Xtal Pro Kit / Xtal Mini,/images/products/Випаровувач ZQ XTAL Pro 0.6 Ом.webp; /images/products/Випаровувач ZQ XTAL Pro 1.0 Ом.webp
OXVA NeXlim,Товар,Картриджі & Випаровувачі,0.6 Ом; 0.8 Ом; 1.2 Ом,2мл/4мл,/images/products/Картридж OXVA NeXLIM 0.6 Ом 4 мл.webp; /images/products/Картридж OXVA NeXLIM 0.8 Ом 2 мл.webp; /images/products/Картридж OXVA NeXLIM 1.2 Ом 2 мл.webp
Vaporesso Luxe Q,Товар,Картриджі & Випаровувачі,0.6 Ом; 0.8 Ом; 1.0 Ом; 1.2 Ом,2мл/3мл,"/images/products/Картридж Vaporesso LUXE Q 2 мл 0.6 Ом.webp; /images/products/Картридж Vaporesso LUXE Q - Mesh 3 мл, 0.8 Ом.webp; /images/products/Картридж Vaporesso LUXE Q 2 мл 1.0 Ом.webp; /images/products/Картридж Vaporesso LUXE Q 2 мл 1.2 Ом.webp"
Smok Novo 4 Empty (порожній),Товар,Картриджі & Випаровувачі,під випарник LP1: 0.8 / 0.9 / 1.2 Ом,"без випарника, купується окремо",
Smok Novo X,Товар,Картриджі & Випаровувачі,0.8 Ом,"2мл, вбудований випарник",/images/products/Картридж Smok Novo X 0.8 Ом.webp
Vaporesso Luxe X,Товар,Картриджі & Випаровувачі,0.8 Ом,"5мл, mesh",/images/products/Картридж Vaporesso LUXE X 5ml - 0.8 Ом.webp
Lost Vape UB Mini S1,Товар,Картриджі & Випаровувачі,0.8 Ом,"для Ursa Empty / Orion Mini / Ursa Baby Pro, зустрічається й 1.0 Ом",/images/products/Випаровувач Lost Vape UB Mini S1 0.8 Ом.webp
Vaporesso Zero,Товар,Картриджі & Випаровувачі,1.0 Ом; 1.2 Ом; 1.3 Ом (CCELL),"2мл, серія Zero/Zero 2/Zero S",/images/products/Картридж Vaporesso Vibe Smart Pod 0.7 1.0 Ом (4.5 мл).webp; /images/products/Картридж Vaporesso OSMALL 1.2 Ом 2 мл.webp; 
Smok Nord 2 RPM Empty (порожній),Товар,Картриджі & Випаровувачі,під випарник RPM: 0.3 Ом (MTL Mesh) / 0.4 Ом (Mesh) / 0.8 Ом (MTL DC),без випарника,/images/products/Smok Nord 2 RPM Empty (порожній) - під випарник RPM 0.3 Ом (MTL Mesh) 0.4 Ом (Mesh) 0.8 Ом (MTL DC).jpg
Upends Upox,Товар,Картриджі & Випаровувачі,1.2 Ом,"2мл, вбудований випарник","/images/products/Картридж Upends UpOX Cartridge 2 мл, 1.2 Ом.webp"
Voopoo PnP-TM2,Товар,Картриджі & Випаровувачі,0.8 Ом,"12-18 Вт, туга затяжка",/images/products/Випаровувач Voopoo PnP TM2 Mesh Coil 0.8 Ом (Original).webp
Smok RPM / RPM SC,Товар,Картриджі & Випаровувачі,0.3 Ом (MTL Mesh); 0.4 Ом (Mesh); 0.8 Ом (MTL DC),для Nord/Nord 2/Nord 4/Nord X/RPM40,/images/products/Випаровувач Smok RPM MTL Mesh 0.3 Ом.webp; /images/products/Випаровувач Smok RPM Mesh 0.4ohm.webp; /images/products/Випаровувач Smok RPM Coil DC 0.8 Ом MTL.webp
Voopoo TPP-DM4,Товар,Картриджі & Випаровувачі,0.3 Ом,"32-40 Вт, сітка",/images/products/Випаровувач VooPoo TPP-DM4 0.3 Ом.webp
Eleaf iOre Lite,Товар,Картриджі & Випаровувачі,1.0 Ом; 1.2 Ом,1.6-2мл,/images/products/Картридж Eleaf IORE Lite 2 1.0 Ом.webp; /images/products/Картридж Eleaf IORE Lite 1.2 Ом.webp
Elf Bar Elfx,Товар,Картриджі & Випаровувачі,0.6 Ом; 0.8 Ом,"2мл, mesh",/images/products/Картридж Elf Bar ELFX Dual Mesh 0.6 Ом 3 мл.webp; /images/products/Картридж Elf Bar ELFX Pod 0.8 Ом.webp
Рідини ELFLIQ 30ML,Товар,Рідини,Apple Peach; Blueberry; Cherry; Cola; Grape; Pina Colada; Spearmint; Mango Peach; Watermelon Ice; Grape Energy,ok,/images/products/Рідина Elf Liq Apple Peach (Яблуко Персик) 30 мл.webp; /images/products/Рідина Elf Liq Blueberry Rose Mint (Чорниця Троянда М'ята) 30 мл.webp; /images/products/Рідина Elf Liq Cherry Cola (Вишня Кола) 30 мл.webp; /images/products/Рідина Elf Liq Cherry Cola (Вишня Кола) 30 мл.webp; /images/products/Рідина Elf Liq Grape (Виноград) 30 мл.webp; /images/products/Рідина Elf Liq Pina Colada (Піна Колада) 30 мл.webp; /images/products/Рідина Elf Liq Spearmint (Спірмінт) 30 мл.webp; /images/products/Рідина Elf Liq Mango Peach (Манго Персик) 30 мл.webp; /images/products/Рідина Elf Liq Blue Razz Ice (Блу Разз Айс) 30 мл.webp; /images/products/Рідина Elf Liq Grape (Виноград) 30 мл.webp
Рідини ELFLIQ 10ML,Товар,Рідини,Apple Peach; Blueberry; Cherry; Cola; Grape; Pina Colada; Spearmint; Mango Peach; Watermelon Ice; Grape Energy,"ok (той самий асортимент, що й 30ML)",/images/products/Рідина Elf Liq Apple Peach (Яблуко Персик) 10 мл.webp; /images/products/Рідина Elf Liq Blueberry (Чорниця) 10 мл.webp; /images/products/Рідина Elf Liq Watermelon Cherry (Кавун Вишня) 10 мл.webp; /images/products/Рідина Elf Liq Pina Colada (Піна Колада) 10 мл.webp; /images/products/Рідина Elf Liq Pink Grapefruit (Пінк Грейпфрут) 10 мл.webp; /images/products/Рідина Elf Liq Pina Colada (Піна Колада) 10 мл.webp; /images/products/Рідина Elf Liq Spearmint (Спірмінт) 10 мл.webp; /images/products/Рідина Elf Liq Mango Peach (Манго Персик) 10 мл.webp; /images/products/Рідина Elf Liq Pineapple Ice (Ананас Лід) 10 мл.webp; /images/products/Рідина Elf Liq Pink Grapefruit (Пінк Грейпфрут) 10 мл.webp
Рідини Chaser For Pods 10ml Заміс,Товар,Рідини,Ягоди (лісові); Гранат; Кактус; Грейпфрут; Жовтий Драгонфрут; Жовта Черешня; Яблуко; Кавун; Вишня; Манго,"ok, лінійка Chaser For Pods налічує 15+ смаків",/images/products/Рідина Chaser For Pods Ягоди 10 мл.webp; /images/products/Рідина Chaser For Pods Гранат 10 мл.webp; /images/products/Рідини Chaser For Pods 10ml Заміс - Кактус.jpg; /images/products/Рідини Chaser For Pods 10ml Заміс - Грейпфрут.jpg; ; /images/products/Рідини Chaser For Pods 10ml Заміс - Жовта Черешня.jpg; /images/products/Рідина Chaser For Pods Яблуко 10 мл.webp; /images/products/Рідина Chaser For Pods Кавун 10 мл.webp; /images/products/Рідина Chaser For Pods Вишня Ментол 10 мл.webp; /images/products/Рідина Chaser For Pods Манго 10 мл.webp
Рідини Chaser For Pods 30ml Заміс,Товар,Рідини,Ягоди (лісові); Гранат; Кактус; Грейпфрут; Жовтий Драгонфрут; Жовта Черешня; Яблуко; Кавун; Вишня; Манго,"ok, той самий асортимент, що й For Pods 10ml",/images/products/Рідина Chaser For Pods Ягоди 30 мл.webp; /images/products/Рідина Chaser For Pods Гранат 30 мл.webp; /images/products/Рідини Chaser For Pods 30ml Заміс - Кактус.jpg; /images/products/Рідини Chaser For Pods 30ml Заміс - Грейпфрут.jpg; /images/products/Рідини Chaser For Pods 30ml Заміс - Жовтий Драгонфрут.jpg; /images/products/Рідини Chaser For Pods 30ml Заміс - Жовта Черешня.jpg; /images/products/Рідина Chaser For Pods Яблуко 30 мл.webp; /images/products/Рідина Chaser For Pods Кавун Ментол 30 мл.webp; /images/products/Рідина Chaser For Pods Вишня 30 мл.webp; /images/products/Рідини Chaser For Pods 30ml Заміс - Манго.jpg
Рідини Chaser Black 30ml Заміс,Товар,Рідини,Bubblegum; Multi Fruit; Strawberry Blueberry; Energy Grape; Pink Lemonade; Forest Mix; Lemon Mint; Bali Triple Shot; Blackberry Sour Raspberry; Cola Pomelo,"ok, окрема лінійка (відділено від For Pods та Mix)",/images/products/Рідина Chaser Black Bubblegum (Баблгам) 30 мл.webp; /images/products/Набір Chaser Black 30 мл 50 мг - Multifruit.webp; /images/products/Рідина Chaser Black Strawberry Blueberry (Полуниця Чорниця) 30 мл.webp; /images/products/Рідина Chaser Black Energy Grape (Енергетик Виноград) 30 мл.webp; /images/products/Рідина Chaser Black Pink Lemonade (Пінк Лимонад) 30 мл.webp; /images/products/Набір Chaser Black 30 мл 65 мг - Forest Mix.webp; /images/products/Рідина Chaser Black Lemon Mint (Лимон М’ята) 30 мл.webp; /images/products/Рідина Chaser Black Bali Triple Shot (Балі Тріпл Шот) 30 мл.webp; /images/products/Рідина Chaser Black Blackberry Sour Raspberry (Ожина Сауер Малина) 30 мл.webp; /images/products/Набір Chaser Black 30 мл 50 мг - Cola Pomelo.webp
Рідини Chaser Mix 30ml Заміс,Товар,Рідини,Полуниця Квас; Ром Кола; Базилік М'ята; Блакитна Малина Лимонад; Вишня Кокос; Гуава Персик; Кавун Яблуко; Манго Грейпфрут; Orbit,"знайдено 9 смаків з 7+ базової лінійки (Ultra-формула), окрема лінійка від For Pods та Black",/images/products/Набір Chaser Mix 30 мл 50 мг - Полуниця Квас.webp; /images/products/Набір Chaser Mix 30 мл 65 мг - Ром Кола.webp; /images/products/Рідини Chaser Mix 30ml Заміс - Базилік М'ята.jpg; /images/products/Набір Chaser Mix 30 мл 50 мг - Малина Ревінь.webp; /images/products/Набір Chaser Mix 30 мл 65 мг - Вишня Кавун.webp; ; /images/products/Набір Chaser Mix 30 мл 65 мг - Вишня Кавун.webp; /images/products/Рідини Chaser Mix 30ml Заміс - Манго Грейпфрут.jpg; /images/products/Набір Chaser Mix 30 мл 50 мг - Orbit.webp
Рідини Chaser Lux 30ml Заміс,Товар,Рідини,Sangria; Cherry Lemon; Sour Apple; Tropic Punch; Peach Yogurt; Sour Watermelon Gummy; Kiwi Passionfruit Guava; Blueberry Mint; Coconut Melon; Turbo Mint,"ok, окрема преміум-лінійка, 20+ смаків у асортименті",/images/products/Рідина Chaser Lux Limited Edition Sangria (Сангрія) 30 мл.webp; /images/products/Рідина Chaser Lux Cherry Lemon (Вишня Лимон) 30 мл.webp; /images/products/Рідина Chaser Lux Sour Apple (Сауер Яблуко) 30 мл.webp; /images/products/Рідина Chaser Lux Tropic Punch (Тропік Пунш) 30 мл.webp; /images/products/Рідина Chaser Lux Tea Peach (Чай Персик) 30 мл.webp; /images/products/Рідина Chaser Lux Sour Apple (Сауер Яблуко) 30 мл.webp; /images/products/Рідина Chaser Lux Kiwi Passion Fruit Guava (Ківі Маракуя Гуава) 30 мл.webp; /images/products/Рідина Chaser Lux Blueberry Mint (Чорниця М’ята) 30 мл.webp; /images/products/Рідина Chaser Lux Coconut Melon (Кокос Диня) 30 мл.webp; /images/products/Рідина Chaser Lux Turbo Mint (Турбо М’ята) 30 мл.webp
Рідини Refrost 30ml Заміс,Товар,Рідини,White Tea; Lemon Cake; Pitahaya Guava; Papaya Watermelon; Grape; Forest Candy; Bergamot Tea; Apricot Compote; Sweet Mint; Red Berries,ok,/images/products/Набір ReFrost 30 мл 50 мг - White Tea.webp; /images/products/Набір ReFrost 30 мл 50 мг - Lemon Pie.webp; /images/products/Набір ReFrost 30 мл 50 мг - Guava-Pitaya.webp; /images/products/Набір ReFrost 30 мл 50 мг - Papaya Watermelon.webp; /images/products/Набір ReFrost 30 мл 50 мг - Grape.webp; /images/products/Набір ReFrost 30 мл 50 мг - Forest Candy.webp; /images/products/Набір ReFrost 30 мл 50 мг - Bergamot Tea.webp; /images/products/Набір ReFrost 30 мл 50 мг - Apricot Compot.webp; /images/products/Набір ReFrost 30 мл 50 мг - Sweet Mint.webp; /images/products/Refrost Salt 30 мл 50 мг - Red Berries.webp
Рідини Steampuff 30ml Заміс,Товар,Рідини,Guava Melon; Pistachio Ice Cream; Sakura Blossom; Sweet Citrus; Apple; Berry Wild; Chewing Gum; Cucumberry; Morning Coffee; Strawberry Banana,ok,/images/products/Набори для самозамісу SteamPuff 30 мл 50 мг - Guava Melon.webp; /images/products/Набори для самозамісу SteamPuff 30 мл 50 мг - Pistachio Ice Cream.webp; /images/products/Набори для самозамісу SteamPuff 30 мл 50 мг - Sakura Blossom.webp; /images/products/Набори для самозамісу SteamPuff 30 мл 50 мг - Sweet Citrus.webp; /images/products/Набори для самозамісу SteamPuff 30 мл 50 мг - Apple.webp; /images/products/Набори для самозамісу SteamPuff 30 мл 50 мг - Wildberry.webp; /images/products/Набори для самозамісу SteamPuff 30 мл 50 мг - Chewing Gum.webp; /images/products/Набори для самозамісу SteamPuff 30 мл 50 мг - Cucumber-strawberry.webp; ; /images/products/Набори для самозамісу SteamPuff 30 мл 50 мг - Banana Strawberry.webp
Рідини NewWay Black 30ml Заміс,Товар,Рідини,Cherry Strawberry; Apple Lime; Raspberry Currant; Lemon Peach; Banana Melon; Mango Orange; Exotic (тропічні фрукти); Berries; Sweet Cherry; Double Watermelon,"ok — підтверджено, що Black є окремою лінійкою",/images/products/Набори для самозамісу New Way Black 30 мл 30 мг - Cherry Strawberry.webp; /images/products/Набори для самозамісу New Way Black 30 мл 30 мг - Apple Lime.webp; /images/products/Набори для самозамісу New Way Black 30 мл 10 мг - Raspberry Currant.webp; /images/products/Набори для самозамісу New Way Black 30 мл 10 мг - Lemon Peach.webp; /images/products/Набори для самозамісу New Way Black 30 мл 65 мг - Banana Melon.webp; /images/products/Набори для самозамісу New Way Black 30 мл 65 мг - Mango Orange.webp; /images/products/Набори для самозамісу New Way Black 30 мл 50 мг - Exotic.webp; /images/products/Набори для самозамісу New Way Black 30 мл 10 мг - Berries.webp; /images/products/Набори для самозамісу New Way Black 30 мл 30 мг - Cherry Strawberry.webp; /images/products/Набори для самозамісу New Way Black 30 мл 30 мг - Watermelon Melon.webp
Рідини NewWay Ice 30ml Заміс,Товар,Рідини,Cherry Ice,"знайдено лише 1 смак — підтверджено, що NewWay Ice є окремою лінійкою (поряд з Classic, PUFS, Black), але каталог смаків потрібно уточнити у постачальника",/images/products/Набори для самозамісу New Way Ice 30 мл 10 мг - Cherry Ice.webp
Рідини Alchemist 30ml Заміс,Товар,Рідини,Vanilla Tobacco; Frappuccino; Cubanana (банан-тютюн); Rich Apple; Rasp Basil; Pitaya Peach; Marshmallow; Iceberg Mango; CranApple; Grapefruit,ok,/images/products/Рідина Alchemist Salt Vanilla Tobacco (Ваніль Тютюн) 30 мл.webp; /images/products/Рідина Alchemist Salt Frappuccino (Фраппучіно) 30 мл.webp; /images/products/Рідина Alchemist Salt Vanilla Tobacco (Ваніль Тютюн) 30 мл.webp; /images/products/Рідина Alchemist Salt Rich Apple (Річ Епл) 30 мл.webp; /images/products/Рідина Alchemist Salt Rasp Basil (Расп Бейзл) 30 мл.webp; /images/products/Рідина Alchemist Salt Pitaya Peach (Пітая Персик) 30 мл.webp; /images/products/Рідини Alchemist 30ml Заміс - Marshmallow.jpg; /images/products/Рідина Alchemist Salt Iceberg Mango (Айсберг Манго) 30 мл.webp; /images/products/Рідина Alchemist Salt Rich Apple (Річ Епл) 30 мл.webp; /images/products/Рідина Alchemist Salt Grapefruit (Грейпфрут) 30 мл.webp
Рідини Lucky 30 ml,Товар,Рідини,Blue Razz; Mojito Aloe; Grape,"знайдено лише 3 смаки, потрібно уточнити решту",/images/products/Lucky Salt 30 мл 50 мг - Blueberry.webp; /images/products/Набір Lucky 30 мл 65 мг - Mojito Aloe Cucumber Lemonade.png; 
Рідини Lucky 15 ml,Товар,Рідини,Blue Razz; Mojito Aloe; Grape,"знайдено лише 3 смаки (той самий асортимент, що й Lucky 30ml), потрібно уточнити решту",/images/products/Набір Lucky 15 мл 65 мг - Blue Razz.webp; /images/products/Набір Lucky 15 мл 50 мг - Mojito Aloe Cucumber Lemonade.webp; /images/products/Набір Lucky 15 мл 50 мг - Grapefruit.webp
Рідини Lucky Chrome 30 ml,Товар,Рідини,Pomegranate Cherry; Peach Gooseberry; Gummy Bears; Green Tea; Green Apple Lychee; Forest Berry Mint; Tropical; Summer Tea,"знайдено 8 смаків, потрібно уточнити ще 2",; /images/products/Lucky Salt 30 мл 50 мг - Peach.webp; /images/products/Рідини Lucky Chrome 30 ml - Gummy Bears.jpg; ; /images/products/Lucky Salt 30 мл 50 мг - Apple.webp; /images/products/Lucky Salt 30 мл 50 мг - Blueberry.webp; ; 
Рідини Dinner Lady 30ml 50mg Заміс,Товар,Рідини,Smooth Tobacco; Strawberry Macaroon; Sweet Fusion; Sweet Tobacco; Tropical Fruits; Heisen Lady; Strawberry Iced; Watermelon Slices,"знайдено 8 смаків, потрібно уточнити ще 2",/images/products/Набір Dinner Lady - Smooth Tobacco 30 мл 30 50 мг.webp; /images/products/Набір Dinner Lady Fruit Full 30 мл 30 50 мг - Strawberry Watermelon.webp; /images/products/Dinner Lady Salt 30 мл 50 мг - Sweet Fusion.webp; /images/products/Набір Dinner Lady - Vanilla Tobacco 30 мл 30 50 мг.webp; /images/products/Набір Mad Dinner - Tropical Fruits 30 мл 50 мг.webp; /images/products/Набір Dinner Lady - Bubblegum 30 мл 30 50 мг.webp; /images/products/Набір Dinner Lady Fruit Full 30 мл 30 50 мг - Strawberry Watermelon.webp; /images/products/Набір Dinner Lady Fruit Full 30 мл 30 50 мг - Watermelon Ice.webp
